DATETIME,PRICE,OPEN,HIGH,LOW,VOLUME
1996-06-12,927.00,919.50,928.50,914.50,111260
1996-06-13,926.25,927.00,929.50,924.00,97465
1996-06-14,914.25,925.50,925.50,914.25,113595
1996-06-17,909.00,919.00,919.00,905.50,98565
1996-06-18,921.00,911.00,921.00,909.00,77090
1996-06-19,923.00,922.50,926.00,919.00,86670
1996-06-20,923.50,920.50,924.00,916.50,97775
1996-06-21,919.50,924.50,924.50,919.00,123555
1996-06-24,915.75,907.25,916.25,903.75,69570
1996-06-25,919.75,914.25,920.25,913.75,69140
1996-06-26,915.00,917.75,918.75,912.50,91600
1996-06-27,912.00,912.75,914.75,911.25,90295
1996-06-28,924.00,924.00,924.00,916.25,117150
1996-07-01,942.00,939.25,942.00,931.25,117070
1996-07-02,931.75,936.25,940.75,931.25,98835
1996-07-03,935.75,929.75,936.25,928.75,73310
1996-07-05,928.75,928.25,930.25,926.25,52715
1996-07-08,928.25,933.25,936.25,927.75,70570
1996-07-09,933.00,931.75,934.25,926.25,75715
1996-07-10,935.50,933.75,939.75,932.25,82140
1996-07-11,947.50,943.25,947.50,942.25,82060
1996-07-12,954.75,951.25,964.25,950.25,126335
1996-07-15,942.75,943.25,953.75,941.25,79145
1996-07-16,930.75,941.25,942.75,930.75,79985
1996-07-17,912.75,918.25,918.25,912.75,109445
1996-07-18,898.75,903.25,911.25,894.75,148310
1996-07-19,894.00,902.25,903.75,889.75,120580
1996-07-22,882.00,886.25,888.75,882.00,79040
1996-07-23,887.75,886.75,892.25,885.75,85895
1996-07-24,884.25,884.75,892.00,883.75,67455
1996-07-25,877.25,880.75,881.75,874.50,108900
1996-07-26,876.25,880.25,881.75,873.50,61495
1996-07-29,885.50,876.25,886.25,875.75,52375
1996-07-30,884.00,896.25,896.25,882.75,66555
1996-07-31,880.50,881.25,883.00,876.50,58345
1996-08-01,886.75,884.25,887.75,882.25,53950
1996-08-02,884.50,884.75,886.25,881.75,43120
1996-08-05,874.50,878.25,878.75,872.50,74840
1996-08-06,872.25,873.75,874.25,867.50,74925
1996-08-07,871.00,871.75,882.25,870.25,61295
1996-08-08,879.25,874.75,882.25,874.25,57935
1996-08-09,889.25,877.75,890.75,877.75,87295
1996-08-12,901.25,889.25,901.25,888.75,21630
1996-08-13,899.25,913.25,915.25,897.25,94690
1996-08-14,904.00,901.25,910.25,900.50,62795
1996-08-15,901.75,904.00,908.00,900.25,54850
1996-08-16,893.75,901.25,901.25,893.25,47830
1996-08-19,890.25,888.75,891.00,881.75,60135
1996-08-20,888.50,890.25,891.75,887.75,51600
1996-08-21,892.50,888.25,892.75,888.25,50075
1996-08-22,893.75,892.75,896.25,890.25,56385
1996-08-23,891.75,889.25,892.25,888.25,121405
1996-08-26,900.00,892.25,902.00,890.75,254435
1996-08-27,901.00,898.75,901.25,897.75,146740
1996-08-28,895.00,901.75,903.00,894.75,199730
1996-08-29,896.75,894.25,897.75,893.50,138570
1996-08-30,896.00,895.75,896.75,894.75,114085
1996-09-03,893.75,897.25,898.25,893.50,146100
1996-09-04,885.75,889.25,890.00,885.25,207410
1996-09-05,887.00,885.50,887.50,885.00,144615
1996-09-06,884.75,885.25,887.25,883.25,173980
1996-09-09,883.00,882.25,884.25,881.25,124435
1996-09-10,886.50,884.75,887.75,884.25,157680
1996-09-11,879.00,883.25,884.25,878.75,314585
1996-09-12,882.25,879.00,882.75,879.00,174420
1996-09-13,873.75,879.75,879.75,873.50,224535
1996-09-16,866.75,871.25,872.25,863.75,347315
1996-09-17,866.75,868.25,870.25,866.25,187775
1996-09-18,867.75,864.25,868.50,861.75,247960
1996-09-19,865.75,869.75,871.25,864.75,185345
1996-09-20,866.50,866.25,868.50,865.50,166120
1996-09-23,865.50,865.25,866.50,863.75,155990
1996-09-24,862.75,864.25,864.25,862.00,187910
1996-09-25,864.50,863.50,864.75,862.25,130460
1996-09-26,858.25,863.00,863.25,858.00,277415
1996-09-27,855.50,859.25,859.75,855.25,187640
1996-09-30,849.00,851.25,851.25,846.25,297260
1996-10-01,848.25,846.75,851.50,844.75,309345
1996-10-02,845.00,852.25,852.75,844.50,247595
1996-10-03,844.25,845.00,846.25,843.75,182390
1996-10-04,841.75,845.25,845.25,840.25,194980
1996-10-07,845.00,843.25,845.50,842.75,153225
1996-10-08,848.75,844.75,849.50,844.00,173025
1996-10-09,846.00,849.25,849.25,845.00,133545
1996-10-10,842.25,845.00,846.25,841.75,143545
1996-10-11,836.00,836.75,838.50,835.25,227085
1996-10-14,838.75,835.50,840.00,834.50,164080
1996-10-15,838.75,840.25,840.75,837.00,150460
1996-10-16,835.50,840.25,841.00,835.00,158510
1996-10-17,835.50,835.00,836.00,833.00,154300
1996-10-18,832.50,835.25,837.50,831.75,216810
1996-10-21,831.25,833.25,833.50,830.25,176265
1996-10-22,831.75,830.50,832.00,828.50,180510
1996-10-23,835.00,833.00,835.50,833.00,182570
1996-10-24,830.25,834.25,835.00,830.00,205560
1996-10-25,827.50,829.25,829.50,827.25,160900
1996-10-28,827.50,828.75,828.75,826.50,188115
1996-10-29,826.75,827.50,827.75,824.50,200385
1996-10-30,822.50,827.00,827.25,822.25,225450
1996-10-31,818.25,821.25,821.50,817.75,248595
1996-11-01,815.25,817.25,818.50,814.75,178925
1996-11-04,814.00,814.25,818.00,813.50,239230
1996-11-05,810.75,811.75,813.00,810.00,211685
1996-11-06,812.25,813.25,814.25,811.50,228775
1996-11-07,816.75,813.50,818.25,813.50,220275
1996-11-08,819.75,817.25,820.50,816.00,211775
1996-11-11,820.50,820.25,822.00,820.25,160465
1996-11-12,820.25,815.25,825.75,814.50,292110
1996-11-13,824.00,821.75,824.25,819.00,212510
1996-11-14,823.50,824.25,825.50,822.00,182890
1996-11-15,821.75,823.25,827.25,821.25,193035
1996-11-18,818.25,821.25,821.25,817.75,178710
1996-11-19,817.50,817.75,819.75,816.75,159560
1996-11-20,822.25,817.25,822.75,817.25,151780
1996-11-21,824.75,824.25,825.75,823.00,122520
1996-11-22,824.75,823.25,825.25,823.00,109970
1996-11-25,827.00,826.25,830.50,826.25,203850
1996-11-26,826.50,826.25,827.00,824.50,155885
1996-11-27,825.75,826.75,827.25,825.50,119070
1996-11-29,823.25,825.50,826.00,822.25,105395
1996-12-02,818.00,820.75,823.25,817.25,216825
1996-12-03,815.25,817.25,819.25,814.50,237015
1996-12-04,815.50,815.50,816.50,815.00,159715
1996-12-05,819.25,814.25,819.75,812.75,214295
1996-12-06,818.25,818.50,820.25,817.75,137990
1996-12-09,816.75,818.25,820.00,816.50,123920
1996-12-10,816.00,815.50,816.75,814.75,136115
1996-12-11,816.75,816.75,817.25,815.25,128210
1996-12-12,816.50,816.75,817.50,815.00,156260
1996-12-13,815.00,816.00,816.75,814.75,119195
1996-12-16,815.75,815.50,816.25,814.00,141305
1996-12-17,817.75,815.75,819.00,815.75,170895
1996-12-18,817.00,819.50,822.25,815.75,276290
1996-12-19,818.25,816.50,818.75,815.75,132425
1996-12-20,819.00,817.75,820.00,817.00,144370
1996-12-23,818.75,818.00,818.75,817.25,91180
1996-12-24,819.00,818.00,819.25,817.50,52000
1996-12-26,819.25,819.25,822.75,818.00,104500
1996-12-27,816.75,820.75,821.00,816.50,95140
1996-12-30,810.50,814.25,814.25,810.25,230035
1996-12-31,810.50,810.50,811.25,810.00,110410
1997-01-02,810.75,810.00,812.75,809.00,161625
1997-01-03,808.75,809.75,810.25,808.25,119640
1997-01-06,809.25,809.75,810.75,809.00,148265
1997-01-07,810.50,809.75,810.75,809.00,121645
1997-01-08,811.50,810.25,812.00,809.75,149800
1997-01-09,810.50,811.50,811.75,810.25,102260
1997-01-10,817.75,822.50,822.50,816.75,299180
1997-01-13,819.50,818.75,820.25,817.75,153285
1997-01-14,823.00,819.00,824.75,818.75,268300
1997-01-15,826.00,823.50,826.25,822.50,190605
1997-01-16,825.75,826.25,826.50,823.50,186970
1997-01-17,825.50,824.25,825.50,823.50,126970
1997-01-20,824.00,822.75,827.75,822.00,197445
1997-01-21,823.25,823.25,824.50,822.75,126190
1997-01-22,822.75,824.00,824.25,821.75,127845
1997-01-23,822.50,822.25,823.75,821.50,10859
1997-01-24,825.00,824.50,825.25,823.25,109710
1997-01-27,827.25,825.25,827.75,824.00,129145
1997-01-28,827.00,827.00,829.50,826.50,195010
1997-01-29,827.25,826.50,829.25,826.25,124030
1997-01-30,826.00,828.25,828.50,825.75,106415
1997-01-31,822.50,824.75,825.25,821.75,165615
1997-02-03,821.75,821.00,822.00,820.50,123775
1997-02-04,822.75,822.00,823.75,820.25,147125
1997-02-05,824.75,823.25,825.00,822.25,111090
1997-02-06,821.00,825.00,825.00,820.75,138085
1997-02-07,823.25,821.00,824.50,820.50,108710
1997-02-10,824.25,823.75,824.50,823.00,90595
1997-02-11,824.75,824.00,825.00,823.25,81820
1997-02-12,826.00,825.75,826.25,823.50,127415
1997-02-13,826.75,825.50,827.00,824.75,122825
1997-02-14,826.25,826.25,828.50,826.00,144675
1997-02-18,835.00,827.25,835.25,827.25,330615
1997-02-19,835.75,834.00,841.50,833.75,218885
